FRAME_NR,ROBOT_ID,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,POSITION X,POSITION Y,POSITION THETA,HAS GOAL,X_MIN,X_MAX,Y_MIN,Y_MAX,TIMESTAMP
98,0,0.8445186669130862,1.6632660776794708,1.0078739195053388,0.4766181217142744,-0.851874568406679,1.5813686973297938,False,0,0,0,0,8.252097129821777
99,0,0.8662545461754625,1.6968503513877187,1.0125390092639883,0.4791986067706843,-0.8150460968696317,1.59285791927035,False,0,0,0,0,8.289737939834595
100,0,0.8857318287965209,1.7258672914408255,1.0144135202595688,0.4821104749944422,-0.7810708023043594,1.589991975314458,False,0,0,0,0,8.327285528182983
101,0,0.9091724007453014,1.7594431686586458,0.975801373560671,0.48553303551511273,-0.7384244608001063,1.5886843000271436,False,0,0,0,0,8.365557432174683
102,0,0.930093344038831,1.78732989367837,0.9811472952505385,0.4866004332033193,-0.7091225186991298,1.5921502894209283,False,0,0,0,0,8.403075933456421
103,0,0.95311314576202,1.8209282816686516,0.9829468466129592,0.48919929088027075,-0.6714640875449254,1.6084270266788354,False,0,0,0,0,8.441161155700684
104,0,0.9730980776624304,1.8494074620956813,0.9772870102112493,0.49057472236765404,-0.6390250818561983,1.5986595176623324,False,0,0,0,0,8.478779554367065
105,0,0.9991822320734942,1.8868343561338499,0.9793636401923913,0.4934501962451217,-0.5925685289419751,1.6080967269602937,False,0,0,0,0,8.516759157180786
106,0,1.0205124228440963,1.9152195589650627,0.9387509006636835,0.49368707184623734,-0.5626062778615922,1.564129473644311,False,0,0,0,0,8.555170059204102
107,0,1.0418789990899742,1.9432702331971974,0.9402880421060469,0.49242442129173053,-0.5316532513033148,1.6129722004872793,False,0,0,0,0,8.59274435043335
108,0,1.0670124341104732,1.9747521865667632,0.9432413942807711,0.49325885378831325,-0.47984289151532594,1.6087679495826044,False,0,0,0,0,8.630651950836182
109,0,1.0888422637040716,2.002406425146395,0.9475060439742423,0.4939356090010983,-0.4478855764128531,1.622107718724224,False,0,0,0,0,8.66852068901062
110,0,1.1135973373616943,2.034604627453949,0.9461913398062636,0.4925392952393642,-0.40542220940307994,1.6128518089134916,False,0,0,0,0,8.70661997795105
111,0,1.1394755470978994,2.06623097193005,0.9435406202206296,0.493,-0.371,1.6145,False,0,0,0,0,8.744678497314453
112,0,1.1647362173113132,2.0985881246614424,0.9456297253529747,0.4819387651827063,-0.3718178619582067,1.6103543913177545,False,0,0,0,0,8.782773971557617
113,0,1.1868072300383246,2.1261749897706372,0.9458473408372452,0.48418335104409005,-0.3360163806600948,1.6047704341293185,False,0,0,0,0,8.821010828018188
114,0,1.2117728688745708,2.157745630885598,0.9430170086155495,0.486,-0.304,1.6135,False,0,0,0,0,8.859015941619873
115,0,1.2343268682504174,2.185578206304077,0.9428729112642019,0.48822843063112953,-0.2599484014863518,1.5997327241867072,True,11,245,385,446,8.896695852279663
